Product Name,product_key,portfolio_key
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,stanlib_multi_asset_growth_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,1nvest_global_government_bond_index_feeder_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,ninety_one_money_market_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_offshore_cautious
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_offshore_balanced_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_offshore_aggressive
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,allan_gray_equity_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_capped_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_top_40_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_top_40_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_global_bond_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_cash_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_cash_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_low_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_low_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_low_equity_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_medium_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_medium_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_medium_equity_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_capped_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_top_40_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_top_40_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_cpi_plus_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_cpi_plus_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_unlisted_property
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_unlisted_property
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_unlisted_property_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,allan_gray_stable_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,coronation_balanced_plus
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_conserv_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_conserv_equity_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_conserv_equity_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_conserv_equity_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_balanced_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_balanced_equity_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_balanced_equity_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_balanced_equity_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_high_equity_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_high_equity_tracker
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,liberty_high_equity_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_high_equity_tracker_c
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_lower_capped_tracker
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,liberty_lower_capped_tracker_c
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,coronation_balanced_defensive_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,coronation_balanced_defensive_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,stanlib_money_market_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,stanlib_money_market_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,stanlib_income_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,stanlib_income_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,stanlib_property_income_fund
Liberty Evolve Retirement Annuity,evolve_retirement_annuity,stanlib_property_income_fund
Liberty Agile Retirement Annuity 2,liberty_retirement_annuity,stanlib_absolute_plus_fund
